jeune,young,youthful,new,juvenile,immature,fresh
tu as vu,you saw (informal),you have seen,you will see,I saw,he saw,we saw
vous êtes,you are,you have,you do,you go,you want,you think
tu as,you have,you are,you do,you go,you want,you think
je,I,you,he,she,we,they
déjà,already,yet,still,never,just,soon
hier il faisait froid,yesterday it was cold,yesterday it was hot,yesterday it was nice,yesterday it rained,yesterday it snowed,yesterday it was sunny
non,no,yes,maybe,okay,not,sure
cour,courtyard,royal court,law court,enclosure,court
faux,false / wrong,fake,untrue,incorrect,bogus
valeur,value,worth,merit,importance,significance,price
arbre,tree,wood,plant,forest,branch,leaf
dame,lady,woman,madam,dame,gentlewoman,missus
l'homme,man,woman,person,child,friend,adult
embrouiller,confuse,confess,concrete,fuse,merge,conclude
Je me suis embrouillé,I got confused,I confessed,I was mistaken,i concluded,i decided,i thrilled
avec,with,without,to,from,by,for
sans,without,with,to,from,by,for
le désir,desire,wish,longing,craving,passion,urge
l'envie,desire,wish,urge,craving,longing,envy
la neige,snow,winter,cold,ice,white,flake
le café,coffee,wine,juice,milk,water,tea
qui est-ce,who is this,who is that,what is this,where is he,how is he,when is he
où est la salle de bain,where is the bathroom,where is the toilet,where is the kitchen,where is the bedroom,where is the living room,where is the office
où sont les toilettes,where are the toilets,where is the bathroom,where is the station,where is the hotel,where is the restaurant,where is the shop
d'où viens-tu,where are you from (informal),where do you live,where are you going,how are you,what is this,who are you
comment,how,where,when,why,who,what
pourquoi,why,where,when,how,who,what
quand,when,where,why,how,who,what
qui,who,where,when,why,how,what
quoi,what,where,when,why,how,who
où,where,when,why,how,who,what
le pneu,tire,wheel,car,vehicle,rubber,flat
tu veux quoi,what do you want (informal),what would you like,what do you need,how are you,where are you,who are you
à quelle heure,what time is now,when,how long,where,why
quel âge as-tu,how old are you (informal),what is your name,where do you live,how are you,what time is it,where are you from
qu'est-ce que c'est,what is this,what is that,what is it,who is this,where is it,how much is it
mal,badly/wrong,well,good,okay,fine,nice
le mois,month,week,day,year,time,period
le mariage,marriage,wedding,matrimony,union,spousal,ceremony
le temp,time,weather,hour,day,moment,period
l'usure,wear and tear,erosion,deterioration,depreciation,attrition
riche,rich,wealthy,affluent,well-off,opulent,prosperous
nous sommes allés,we went,we have gone,we will go,I went,they went,you went
nous avons mangé,we ate,we have eaten,we will eat,I ate,they ate,you ate
ils vont au cinéma,they go to the cinema (masc),we go to the cinema,you go to the cinema,I go to the cinema,she goes to the cinema,he goes to the cinema
nous mangeons au restaurant,we eat at the restaurant,we eat together,we eat at home,I eat at the restaurant,they eat at the restaurant,she eats at the restaurant
nous allons à l'école,we go to school,we are going to school,I go to school,they go to school,you go to school,she goes to school
nous avons,we have,we are,we do,we go,we want,we think
vous,you (formal/plural),we,they,I,he,us
la direction,direction,way,guidance,management,instruction,heading
la route,road,way,route,highway,path,street
la chaleur,heat,warmth,temperature,hot,fire,summer
chaud,hot,warm,heated,spicy,burning,passionate
guerre,war,warfare,conflict,battle,hostilities,strife
réveil,alarm clock,waking,awakening,alarm,rousing,arousal
pari,bet,wager,stake,gamble,odds,speculation
rêve,dream,vision,fantasy,nightmare,aspiration,ideal
le navire,ship,vessel,craft,boat,liner,steamer
la voiture,car,vehicle,truck,bike,train,bus
les fruits,fruits,vegetables,meat,fish,cheese,bread
la carotte,carrot,vegetable,orange,root,healthy,raw
la pomme de terre,potato,vegetable,tuber,starchy,fried,boiled
la tomate,tomato,vegetable,red,fruit,sauce,salad
coffre-fort,safe,vault,strongbox,secure box,lockbox,treasury
vide,empty,vacant,blank,hollow,barren,unoccupied
américain,American,US citizen,Yankee,US,stateside,American person
nous,we,us,they,you,I,he
ouvert,open,unlocked,accessible,available,frank,overt
l'école,school,university,class,lesson,teacher,student
impossible,impossible,unfeasible,unattainable,unthinkable,no way,absurd
oncle,uncle,unc,relative,aunt's husband,father's brother,area
la laideur,ugliness,unattractiveness,hideousness,repulsiveness,awfulness,monstrosity
laid,ugly,unattractive,hideous,unsightly,repulsive,awful
tour,turn,round,trick,spin,rotation
confiance,confidence,trust,belief,faith,reliance,assurance
sans importance,unimportant,trivial,minor,insignificant,negligible,irrelevant
le trajet,journey,trip,route,travel,passage,commute
la paix,peace,tranquility,calm,harmony,accord,serenity
l'entraînement,workout,training,exercise,practice,session,trainer
la ville,city,town,village,place,capital,area
tendre,tender,tough,hard,soft,rough,gentle
Devoirs,homework,must,duty,have to,job,work
assez,enough/fairly,too much,very,so,little,much
très,very,too,so,quite,rather,much
demain il va pleuvoir,tomorrow it will rain,tomorrow it will be sunny,tomorrow it will be hot,tomorrow it will be cold,tomorrow it will snow,tomorrow it will be windy
salle de bain,bathroom,toilet,shower,restroom,washroom,lavatory
aujourd'hui il fait chaud,today it's hot,today it's cold,today it's nice,today it's raining,today it's sunny,today it's windy
à la vôtre,cheers,to your health,good appetite,thank you,hello,goodbye
composer une chanson,to compose a song,to write music,to create melody,to make tune,to invent lyrics,to build track
marcher,to walk,to work,to function,to step,to go,to march
résister à la tentation,to resist temptation,to withstand lure,to oppose seduction,to endure attraction,to hold out pull,to defy draw
résister,to resist,to withstand,to oppose,to endure,to hold out,to defy
pleurer,to cry,to weep,to mourn,to sob,to lament,to complain
mettre un chapeau,to put on a hat,to wear headwear,to don cap,to apply covering,to place accessory,to cover head
prendre une douche,to take a shower,to wash body,to have shower,to clean self,to refresh with water,to bathe quickly
falloir,to be necessary,to want,to need,to must,to have,to do
