#card,,,,,,,,,,,,,,,,
Acheter, J’achetais (Imparfait/Past Continuous), I was buying, J’achetais du pain tous les jours., Tu achetais des vêtements., Il/Elle achetait une maison., Nous achetions en ligne., Vous achetiez quoi?, Ils/Elles achetaient des cadeaux.,,,,,,,,
Acheter, J’achèterai (Futur simple/Future), I will buy, J’achèterai du pain demain., Tu achèteras des vêtements?, Il/Elle achètera une maison., Nous achèterons en ligne., Vous achèterez quoi?, Ils/Elles achèteront des cadeaux.,,,,,,,,
Acheter, J’achèterais (Conditionnel présent/Would), I would buy, J’achèterais du pain si j’avais de l’argent., Tu achèterais des vêtements?, Il/Elle achèterait une maison., Nous achèterions en ligne., Vous achèteriez quoi?, Ils/Elles achèteraient des cadeaux.Apporter, J’apporte (Présent/Present), I bring, J’apporte le dessert., Tu apportes ton livre?, Il/Elle apporte des fleurs., Nous apportons les documents., Vous apportez le vin?, Ils/Elles apportent de la musique.
Acheter, J’ai acheté (Passé composé/Simple Past), I bought, J’ai acheté du pain hier., Tu as acheté des vêtements?, Il/Elle a acheté une maison., Nous avons acheté en ligne., Vous avez acheté quoi?, Ils/Elles ont acheté des cadeaux.,,,,,,,,
Aller, Je suis allé (Passé composé/Simple Past), I went, Je suis allé à l’école hier., Tu es allé bien?, Il/Elle est allé au travail., Nous sommes allés au cinéma., Vous êtes allés où?, Ils/Elles sont allés en France.,,,,,,,,
Aller, J’allais (Imparfait/Past Continuous), I was going, J’allais à l’école tous les jours., Tu allais bien?, Il/Elle allait au travail., Nous allions au cinéma., Vous alliez où?, Ils/Elles allaient en France.,,,,,,,,
Aller, J’irai (Futur simple/Future), I will go, J’irai à l’école demain., Tu iras bien?, Il/Elle ira au travail., Nous irons au cinéma., Vous irez où?, Ils/Elles iront en France.,,,,,,,,
Aller, J’irais (Conditionnel présent/Would), I would go, J’irais à l’école si j’étais jeune., Tu irais bien?, Il/Elle irait au travail., Nous irions au cinéma., Vous iriez où?, Ils/Elles iraient en France.Venir, Je viens (Présent/Present), I come, Je viens avec toi., Tu viens ce soir?, Il/Elle vient demain., Nous venons ensemble., Vous venez quand?, Ils/Elles viennent de loin.
Apercevoir, J’ai aperçu (Passé composé/Simple Past), I noticed, J’ai aperçu un problème hier., Tu as aperçu quelqu’un?, Il/Elle a aperçu la différence., Nous avons aperçu la vérité., Vous avez aperçu le changement?, Ils/Elles ont aperçu le danger.,,,,,,,,
Apercevoir, J’apercevais (Imparfait/Past Continuous), I was noticing, J’apercevais un problème tous les jours., Tu apercevais quelqu’un., Il/Elle apercevait la différence., Nous apercevions la vérité., Vous aperceviez le changement?, Ils/Elles apercevaient le danger.,,,,,,,,
