Je suis là maintenant. (présent),Я сейчас здесь.,Я был здесь сейчас.,Я буду здесь сейчас.,Я здесь в данный момент постоянно.
J’étais là hier. (imparfait),Я был там вчера.,Я есть там вчера.,Я буду там вчера.,Я находился там вчера весь день.
Pendant que j’étais là je travaillais. (imparfait),Пока я был там я работал.,Пока я есть там я работал.,Пока я буду там я работал.,Во время того как я был там я делал работу.
Je vais être là demain. (futur proche),Я буду там завтра.,Я есть там завтра.,Я был там завтра.,Я собираюсь быть там завтра.
Je serai là demain. (futur simple),Я буду там завтра.,Я есть там завтра.,Я был там завтра.,Завтра я там буду точно.
Tu entends la musique ? (présent),Ты слышишь музыку?,Ты слышал музыку сейчас?,Ты будешь слышать музыку?,Ты слышишь ли музыку прямо сейчас?
Il a entendu le bruit. (passé composé),Он услышал шум.,Он слышит шум.,Он будет слышать шум.,Он слышал шум вчера.
Elle entendait la radio pendant qu’elle cuisinait. (imparfait),Она слушала радио пока готовила.,Она слышит радио пока готовила.,Она услышала радио пока готовила.,Пока она готовила она слушала радио.
Nous allons entendre les nouvelles. (futur proche),Мы услышим новости скоро.,Мы слышим новости скоро.,Мы услышали новости скоро.,Мы собираемся услышать новости.
Ils entendront tout demain. (futur simple),Они услышат всё завтра.,Они слышат всё завтра.,Они услышали всё завтра.,Завтра они всё услышат.
Je termine le travail maintenant. (présent),Я заканчиваю работу сейчас.,Я закончил работу сейчас.,Я закончу работу сейчас.,Я сейчас завершаю работу.
J’ai terminé le rapport hier. (passé composé),Я закончил отчёт вчера.,Я заканчиваю отчёт вчера.,Я буду заканчивать отчёт вчера.,Вчера я завершил отчёт.
Pendant que je terminais le livre il pleuvait. (imparfait),Пока я заканчивал книгу шёл дождь.,Пока я закончил книгу шёл дождь.,Пока я закончу книгу шёл дождь.,Во время чтения книги шёл дождь.
Tu vas terminer bientôt. (futur proche),Ты скоро закончишь.,Ты заканчиваешь скоро.,Ты закончил скоро.,Ты собираешься закончить скоро.
Nous terminerons le projet la semaine prochaine. (futur simple),Мы закончим проект на следующей неделе.,Мы заканчиваем проект на следующей неделе.,Мы закончили проект на следующей неделе.,На следующей неделе мы завершим проект.
Je donne le livre à lui. (présent),Я даю книгу ему.,Я дал книгу ему сейчас.,Я дам книгу ему сейчас.,Я отдаю книгу ему.
Je lui ai donné le cadeau. (passé composé),Я дал ему подарок.,Я даю ему подарок.,Я дам ему подарок.,Я подарил ему подарок вчера.
Pendant que je donnais la leçon ils écoutaient. (imparfait),Пока я давал урок они слушали.,Пока я дал урок они слушали.,Пока я дам урок они слушали.,Во время урока они слушали.
Elle va lui donner l’argent demain. (futur proche),Она даст ему деньги завтра.,Она даёт ему деньги завтра.,Она дала ему деньги завтра.,Она собирается дать ему деньги завтра.
Ils donneront la réponse à nous. (futur simple),Они дадут ответ нам.,Они дают ответ нам.,Они дали ответ нам.,Они дадут нам ответ.
Je lis le journal chaque matin. (présent),Я читаю газету каждое утро.,Я прочитал газету каждое утро.,Я прочитаю газету каждое утро.,Я читаю газету обычно по утрам.
J’ai lu le livre hier soir. (passé composé),Я прочитал книгу вчера вечером.,Я читаю книгу вчера вечером.,Я буду читать книгу вчера вечером.,Вчера вечером я закончил книгу.
Pendant que je lisais elle dormait. (imparfait),Пока я читал она спала.,Пока я прочитал она спала.,Пока я прочитаю она спала.,Во время чтения она спала.
Nous allons lire les instructions. (futur proche),Мы прочитаем инструкции скоро.,Мы читаем инструкции скоро.,Мы прочитали инструкции скоро.,Мы собираемся прочитать инструкции.
Vous lirez le mail demain. (futur simple),Вы прочитаете письмо завтра.,Вы читаете письмо завтра.,Вы прочитали письмо завтра.,Завтра вы прочитаете письмо.
Je travaille à la maison aujourd’hui. (présent),Я работаю дома сегодня.,Я работал дома сегодня.,Я буду работать дома сегодня.,Я сейчас работаю дома.
J’ai travaillé toute la journée. (passé composé),Я работал весь день.,Я работаю весь день.,Я буду работать весь день.,Весь день я работал.
Pendant que je travaillais il téléphonait. (imparfait),Пока я работал он звонил.,Пока я работал он позвонил.,Пока я буду работать он звонил.,Во время работы он звонил.
Tu vas travailler demain matin. (futur proche),Ты будешь работать завтра утром.,Ты работаешь завтра утром.,Ты работал завтра утром.,Ты собираешься работать завтра утром.
Ils travailleront à Paris l’année prochaine. (futur simple),Они будут работать в Париже в следующем году.,Они работают в Париже в следующем году.,Они работали в Париже в следующем году.,В следующем году они будут работать в Париже.
Il faut partir maintenant. (présent),Надо уходить сейчас.,Надо уйти сейчас.,Надо уйдёт сейчас.,Сейчас необходимо уходить.
Il a fallu annuler hier. (passé composé),Вчера пришлось отменить.,Вчера надо отменить.,Вчера надо отменить.,Вчера было необходимо отменить.
Pendant qu’il fallait attendre nous parlions. (imparfait),Пока надо было ждать мы разговаривали.,Пока надо ждать мы разговаривали.,Пока надо будет ждать мы разговаривали.,Во время ожидания мы говорили.
Il va falloir payer demain. (futur proche),Завтра придётся заплатить.,Завтра надо заплатить.,Завтра надо заплатил.,Скоро будет необходимо заплатить.
Il faudra réserver à l’avance. (futur simple),Придётся забронировать заранее.,Надо забронировать заранее.,Надо забронировал заранее.,Заранее будет нужно забронировать.
Je raconte l’histoire à eux. (présent),Я рассказываю историю им.,Я рассказал историю им сейчас.,Я расскажу историю им сейчас.,Я рассказываю им историю.
Je leur ai raconté tout. (passé composé),Я рассказал им всё.,Я рассказываю им всё.,Я расскажу им всё.,Я им всё рассказал.
Pendant que je racontais elle riait. (imparfait),Пока я рассказывал она смеялась.,Пока я рассказал она смеялась.,Пока я расскажу она смеялась.,Во время рассказа она смеялась.
Nous allons raconter nos vacances. (futur proche),Мы расскажем о наших каникулах скоро.,Мы рассказываем о наших каникулах скоро.,Мы рассказали о наших каникулах скоро.,Мы собираемся рассказать о каникулах.
Vous raconterez le film demain. (futur simple),Вы расскажете фильм завтра.,Вы рассказываете фильм завтра.,Вы рассказали фильм завтра.,Завтра вы расскажете о фильме.
Je t’appelle ce soir. (présent),Я тебе звоню сегодня вечером.,Я тебе звонил сегодня вечером.,Я тебе позвоню сегодня вечером.,Я звоню тебе вечером.
Je t’ai appelé hier. (passé composé),Я тебе звонил вчера.,Я тебе звоню вчера.,Я тебе позвоню вчера.,Вчера я тебе звонил.
Pendant que je t’appelais tu dormais. (imparfait),Пока я тебе звонил ты спал.,Пока я тебе звонил ты спишь.,Пока я тебе позвоню ты спал.,Во время звонка ты спал.
Elle va m’appeler demain. (futur proche),Она мне позвонит завтра.,Она мне звонит завтра.,Она мне звонила завтра.,Она собирается мне позвонить завтра.
Ils appelleront le médecin. (futur simple),Они позвонят врачу.,Они звонят врачу.,Они звонили врачу.,Они позвонят доктору.
Je lui montre la photo. (présent),Я показываю ему фото.,Я показал ему фото сейчас.,Я покажу ему фото сейчас.,Я ему показываю фотографию.
Je lui ai montré le chemin. (passé composé),Я показал ему дорогу.,Я показываю ему дорогу.,Я покажу ему дорогу.,Я ему показал путь.
Pendant que je montrais ils regardaient. (imparfait),Пока я показывал они смотрели.,Пока я показал они смотрели.,Пока я покажу они смотрели.,Во время показа они смотрели.
Nous allons lui montrer la ville. (futur proche),Мы покажем ему город скоро.,Мы показываем ему город скоро.,Мы показали ему город скоро.,Мы собираемся показать ему город.
Vous montrerez le document à nous. (futur simple),Вы покажете нам документ.,Вы показываете нам документ.,Вы показали нам документ.,Вы покажете документ нам.
Je rencontre mes amis au café. (présent),Я встречаюсь с друзьями в кафе.,Я встретился с друзьями в кафе сейчас.,Я встречусь с друзьями в кафе сейчас.,Я встречаю друзей в кафе.
Je les ai rencontrés hier. (passé composé),Я встретил их вчера.,Я встречаю их вчера.,Я встречу их вчера.,Вчера я их встретил.
Pendant que je rencontrais elle souriait. (imparfait),Пока я встречал она улыбалась.,Пока я встретил она улыбалась.,Пока я встречу она улыбалась.,Во время встречи она улыбалась.
Tu vas rencontrer le chef demain. (futur proche),Ты встретишься с шефом завтра.,Ты встречаешься с шефом завтра.,Ты встретился с шефом завтра.,Ты собираешься встретить начальника завтра.
Ils rencontreront de nouvelles personnes. (futur simple),Они встретят новых людей.,Они встречают новых людей.,Они встретили новых людей.,Они встретят новых людей.
Je connais bien Paris. (présent),Я хорошо знаю Париж.,Я хорошо знал Париж.,Я хорошо узнаю Париж.,Я знаю Париж хорошо.
J’ai connu cette personne l’année dernière. (passé composé),Я познакомился с этим человеком в прошлом году.,Я знаю этого человека в прошлом году.,Я познакомлюсь с этим человеком в прошлом году.,В прошлом году я с ним познакомился.
Pendant que je connaissais la ville je me perdais souvent. (imparfait),Пока я знал город я часто терялся.,Пока я знал город я часто теряюсь.,Пока я узнаю город я часто терялся.,Во время знакомства с городом я часто терялся.
Nous allons connaître la vérité bientôt. (futur proche),Мы скоро узнаем правду.,Мы знаем правду скоро.,Мы узнали правду скоро.,Мы собираемся узнать правду скоро.
Vous connaîtrez le résultat demain. (futur simple),Вы узнаете результат завтра.,Вы знаете результат завтра.,Вы узнали результат завтра.,Завтра вы узнаете результат.
Je crois que c’est vrai. (présent),Я думаю что это правда.,Я думал что это правда сейчас.,Я подумаю что это правда сейчас.,Я верю что это верно.
J’ai cru son histoire. (passé composé),Я поверил его истории.,Я верю его истории.,Я поверю его истории.,Я поверил в его рассказ.
Pendant que je croyais tout allait bien. (imparfait),Пока я думал всё шло хорошо.,Пока я думал всё идёт хорошо.,Пока я подумаю всё шло хорошо.,Во время веры всё было хорошо.
Tu vas croire ça ? (futur proche),Ты поверишь в это?,Ты веришь в это?,Ты поверил в это?,Ты собираешься поверить?
Ils croiront tout ce qu’il dit. (futur simple),Они поверят всему что он говорит.,Они верят всему что он говорит.,Они поверили всему что он говорит.,Они поверят всему что он скажет.
Je réfléchis à ta proposition. (présent),Я размышляю над твоим предложением.,Я размышлял над твоим предложением сейчас.,Я размышлю над твоим предложением сейчас.,Я думаю над твоим предложением.
J’ai réfléchi toute la nuit. (passé composé),Я размышлял всю ночь.,Я размышляю всю ночь.,Я размышлю всю ночь.,Всю ночь я думал.
Pendant que je réfléchissais il attendait. (imparfait),Пока я размышлял он ждал.,Пока я размышлял он ждёт.,Пока я размышлю он ждал.,Во время размышлений он ждал.
Nous allons réfléchir ensemble. (futur proche),Мы подумаем вместе скоро.,Мы думаем вместе скоро.,Мы подумали вместе скоро.,Мы собираемся подумать вместе.
Vous réfléchirez à la question. (futur simple),Вы подумаете над вопросом.,Вы думаете над вопросом.,Вы подумали над вопросом.,Вы поразмышляете над вопросом.
Je songe à partir en vacances. (présent),Я думаю об отпуске.,Я думал об отпуске сейчас.,Я подумаю об отпуске сейчас.,Я мечтаю об отпуске.
J’ai songé à changer de travail. (passé composé),Я подумал о смене работы.,Я думаю о смене работы.,Я подумаю о смене работы.,Я размышлял о смене работы.
Pendant que je songeais au futur tout changeait. (imparfait),Пока я думал о будущем всё менялось.,Пока я думал о будущем всё меняется.,Пока я подумаю о будущем всё менялось.,Во время размышлений о будущем всё менялось.
Il va songer à ton idée. (futur proche),Он подумает над твоей идеей скоро.,Он думает над твоей идеей скоро.,Он подумал над твоей идеей скоро.,Он собирается подумать над твоей идеей.
Ils songeront à nous aider. (futur simple),Они подумают о том чтобы нам помочь.,Они думают о том чтобы нам помочь.,Они подумали о том чтобы нам помочь.,Они поразмышляют о помощи нам.
Je prends le train à 8h. (présent),Я сажусь на поезд в 8.,Я сел на поезд в 8 сейчас.,Я сяду на поезд в 8 сейчас.,Я беру поезд в 8 часов.
J’ai pris le café ce matin. (passé composé),Я выпил кофе сегодня утром.,Я пью кофе сегодня утром.,Я выпью кофе сегодня утром.,Сегодня утром я взял кофе.
Pendant que je prenais le repas elle parlait. (imparfait),Пока я ел она говорила.,Пока я ел она говорит.,Пока я поем она говорила.,Во время еды она говорила.
Nous allons prendre une décision demain. (futur proche),Мы примем решение завтра.,Мы принимаем решение завтра.,Мы приняли решение завтра.,Мы собираемся принять решение завтра.
