#card
Entendre,Я услышал песню,J'ai entendu une chanson,J'entends une chanson,Je vais entendre une chanson,Tu as entendu le bruit,Elle entend la musique,
TERMINER,Я закончил свою работу.,J'ai terminé mon travail,Je termine mes devoirs,Nous allons terminer le projet,Il termine le repas,Vous avez terminé l'exercice
Donner,Я дарю своему другу подарок.,Je donne un cadeau à mon ami,Il a donné son livre,Nous allons donner de l'argent,Tu donnes une fleur,Elle donne un conseil
LIRE,Я читаю интересную книгу.,Je lis un livre intéressant,Elle a lu le journal,Nous allons lire une histoire,Tu lis le message,Vous lisez le roman
TRAVAILLER,Я работаю дома,Je travaille à la maison,Il a travaillé toute la journée,Nous allons travailler demain,Tu travailles à l'école,Elle travaille dur
Falloir,Вам нужно поесть,Il faut manger,Il a fallu partir,Nous allons devoir partir,Il faut étudier,Il faut attendre
RACONTER,Я рассказываю историю.,Je raconte une histoire,Il a raconté son voyage,Nous allons raconter le film,Tu racontes une blague,Elle raconte sa journée
APPELLER,Я звоню своему другу.,J'appelle mon ami,Il a appelé sa mère,Nous allons appeler le médecin,Tu appelles ton frère,Elle appelle le taxi
MONTRER,Я показываю фотографию.,Je montre la photo,Il a montré le chemin,Nous allons montrer le résultat,Tu montres ta maison,Elle montre le livre
RENCONTRER,Я встретил своего друга,J'ai rencontré mon ami,Je rencontre un nouveau collègue,Nous allons rencontrer la famille,Tu rencontres ta voisine,Elle rencontre son professeur
CONNATRE,Я хорошо знаю Париж.,Je connais bien Paris,Il a connu beaucoup de gens,Nous allons connaître la vérité,Tu connais cette chanson,Elle connaît la règle
Croire,Я верю этой истории.,Je crois à cette histoire,Il a cru son ami,Nous allons croire le professeur,Tu crois en toi,Elle croit en Dieu
réfléchir,Я размышляю над этим вопросом.,Je réfléchis à la question,Il a réfléchi longtemps,Nous allons réfléchir au problème,Tu réfléchis avant de parler,Elle réfléchit à l'avenir
songer,Я думаю о своем отпуске.,Je songe à mes vacances,Il a songé à changer de travail,Nous allons songer à l'avenir,Tu songes à partir,Elle songe à sa vie
Prendre,Я пью кофе,Je prends un café,Il a pris le train,Nous allons prendre le bus,Tu prends ton sac,Elle prend une décision
Apprendre,Я учу французский язык.,J'apprends le français,Elle a appris une nouvelle langue,Nous allons apprendre à cuisiner,Tu apprends vite,Il apprend la leçon
Devoir,Мне нужно уйти,Je dois partir,Il a dû travailler,Nous allons devoir attendre,Tu dois étudier,Elle doit appeler
Devenir,Я становлюсь сильнее,Je deviens plus fort,Il est devenu médecin,Nous allons devenir amis,Tu deviens grand,Elle devient célèbre
LOYER,Я снимаю квартиру.,Je loue un appartement,Il a loué une voiture,Nous allons louer une maison,Tu loues une chambre,Elle loue un vélo
LAVER,Я мою машину,Je lave la voiture,Il a lavé les assiettes,Nous allons laver le sol,Tu laves tes mains,Elle lave ses vêtements
SE LAVER,Я мою руки,Je me lave les mains,Il s'est lavé le visage,Nous allons nous laver,Tu te laves le matin,Elle se lave les cheveux
Oublier,Я забыл свой телефон,J'ai oublié mon téléphone,Je oublie souvent les noms,Nous allons oublier le passé,Tu oublies tes clés,Elle oublie la date
Demander,Я прошу о помощи,Je demande de l'aide,Il a demandé l'heure,Nous allons demander le chemin,Tu demandes un conseil,Elle demande un café
Avoir,У меня есть собака,J'ai un chien,Il a eu une bonne idée,Nous allons avoir un bébé,Tu as raison,Elle a faim
Mettre,Я надела пальто,Je mets mon manteau,Il a mis la table,Nous allons mettre la musique,Tu mets tes chaussures,Elle met un chapeau
Tenir,Я сдерживаю своё обещание,Je tiens ma promesse,Il a tenu le bébé,Nous allons tenir la réunion,Tu tiens le sac,Elle tient la main
Paraître / sembler,Он выглядит уставшим,Il paraît fatigué,Elle semble heureuse,Nous allons paraître calmes,Tu sembles content,Ça paraît difficile
Sentir,Я чувствую приятный запах,Je sens une bonne odeur,Il a senti le danger,Nous allons sentir le parfum,Tu sens le froid,Elle sent la fleur
Attendre,Я жду автобуса,J'attends le bus,Il a attendu longtemps,Nous allons attendre la réponse,Tu attends ton ami,Elle attend un appel
Retenir,Я учту эту информацию,Je retiens l'information,Il a retenu la leçon,Nous allons retenir les règles,Tu retiens bien,Elle retient le numéro
suivre,Я — путь,Je suis le chemin,Il a suivi le conseil,Nous allons suivre le cours,Tu suis les règles,Elle suit le professeur
Servir,Я подаю ужин.,Je sers le dîner,Il a servi le client,Nous allons servir le repas,Tu sers le café,Elle sert à table
Recevoir,Я получил письмо,J'ai reçu une lettre,Je reçois un cadeau,Nous allons recevoir des amis,Tu reçois un email,Elle reçoit de l'argent
Perdre,Мои ключи потерялись,J'ai perdu mes clés,Il a perdu le match,Nous allons perdre du temps,Tu perds patience,Elle perd son sac
Apercevoir,Я заметил птицу,J'aperçois un oiseau,Il a aperçu son ami,Nous allons apercevoir la mer,Tu aperçois la lumière,Elle aperçoit le problème
partons,Пошли!,Partons maintenant!,Nous partons en voyage,Allons-nous partir demain?,Vous partez bientôt?,Ils partent en vacances
Écoute,Послушайте музыку!,Écoute la musique!,Il écoute la radio,Nous allons écouter le professeur,Tu écoutes bien,Elle écoute une chanson
COMMENCER,Я начинаю работать,Je commence à travailler,Il a commencé le cours,Nous allons commencer le film,Tu commences l'exercice,Elle commence à chanter
SAVOIR,Я знаю ответ,Je sais la réponse,Il a su la vérité,Nous allons savoir le résultat,Tu sais bien,Elle sait cuisiner
RECONNAÎTRE,Я узнаю этот голос.,Je reconnais cette voix,Il a reconnu son erreur,Nous allons reconnaître le problème,Tu reconnais l'endroit,Elle reconnaît la chanson
Partir,Я отправляюсь в путешествие.,Je pars en voyage,Il est parti hier,Nous allons partir demain,Tu pars maintenant,Elle part à l'école
Penser,Я думаю о тебе,Je pense à toi,Il a pensé à l'avenir,Nous allons penser à la solution,Tu penses trop,Elle pense à son travail
Quitter,Я ухожу из дома,Je quitte la maison,Il a quitté son travail,Nous allons quitter la ville,Tu quittes la fête,Elle quitte l'école
Vendre,Я продаю свою машину,Je vends ma voiture,Il a vendu sa maison,Nous allons vendre le produit,Tu vends des livres,Elle vend des fleurs
ENVOYER,Я отправляю сообщение,J'envoie un message,Il a envoyé une lettre,Nous allons envoyer le colis,Tu envoies un email,Elle envoie une photo
Finir,Я заканчиваю свою работу,Je finis mon travail,Il a fini le livre,Nous allons finir le projet,Tu finis le repas,Elle finit la journée
Passer,Я прохожу мимо,Je passe par ici,Il est passé hier,Nous allons passer la soirée,Tu passes le temps,Elle passe l'examen
Aller,я хожу в школу,Je vais à l'école,Il est allé au cinéma,Nous allons aller au restaurant,Tu vas bien?,Elle va chez sa mère
Venir,Я иду с тобой,Je viens avec toi,Il est venu hier,Nous allons venir demain,Tu viens à la fête?,Elle vient de France
Entrer,Я вхожу в дом,J'entre dans la maison,Il est entré dans la salle,Nous allons entrer au musée,Tu entres sans frapper,Elle entre au bureau
Sortir,Я иду гулять с друзьями,Je sors avec des amis,Il est sorti hier soir,Nous allons sortir ce soir,Tu sors beaucoup,Elle sort du travail
Naitre,Я родился в 1990 году.,Je suis né en 1990,Il est né à Paris,Nous allons naître sous une bonne étoile (métaphorique),Tu es né en été,Elle est née en hiver
Rester,Я остаюсь дома,Je reste à la maison,Il est resté tard,Nous allons rester ici,Tu restes calme,Elle reste avec nous
Faire,Я делаю домашнее задание,Je fais mes devoirs,Il a fait un gâteau,Nous allons faire du sport,Tu fais attention,Elle fait du yoga
Boire,Я пью воду,Je bois de l'eau,Il a bu un café,Nous allons boire du thé,Tu bois du jus,Elle boit du vin
Etre,я счастлив,Je suis content,Il était fatigué,Nous allons être heureux,Tu es gentil,Elle est belle
Parler,Я говорю по-французски,Je parle français,Il a parlé longtemps,Nous allons parler du projet,Tu parles bien,Elle parle avec sa mère
Tomber,Я часто падаю,Je tombe souvent,Il est tombé par terre,Nous allons tomber malades (métaphorique),Tu tombes de fatigue,Elle tombe amoureuse
RÉPÉTER,Я повторяю предложение,Je répète la phrase,Il a répété l'exercice,Nous allons répéter la chanson,Tu répètes la question,Elle répète les mots
Ecrire,Я пишу письмо,J'écris une lettre,Il a écrit un livre,Nous allons écrire un email,Tu écris bien,Elle écrit un journal
Regarder,Я смотрю фильм,Je regarde un film,Il a regardé la télé,Nous allons regarder le match,Tu regardes par la fenêtre,Elle regarde les étoiles
Voire,Я вижу проблему,Je vois le problème,Il a vu son ami,Nous allons voir le résultat,Tu vois la différence?,Elle voit bien
répondre,Я отвечаю на вопрос.,Je réponds à la question,Il a répondu rapidement,Nous allons répondre au client,Tu réponds au téléphone,Elle répond au message
Manger,Я ем яблоко,Je mange une pomme,Il a mangé au restaurant,Nous allons manger ensemble,Tu manges beaucoup,Elle mange sainement
Dancer,Я хорошо танцую,Je danse bien,Il a dansé toute la nuit,Nous allons danser à la fête,Tu danses avec joie,Elle danse le tango
Lesse,Я оставляю здесь свою сумку,Je laisse mon sac ici,Il a laissé un message,Nous allons laisser une chance,Tu laisses la porte ouverte,Elle laisse son enfant
Chercher,Я ищу свои ключи,Je cherche mes clés,Il a cherché du travail,Nous allons chercher une solution,Tu cherches ton ami,Elle cherche un livre
Visiter,Я в Париже,Je visite Paris,Il a visité le musée,Nous allons visiter la ville,Tu visites ta famille,Elle visite un ami
Voyager,Я часто путешествую,Je voyage souvent,Il a voyagé en avion,Nous allons voyager en été,Tu voyages seul,Elle voyage en train
JOYEUX,Я сегодня счастлив,Je suis joyeux aujourd'hui,Il paraît joyeux,Nous allons être joyeux,Tu es joyeux,Elle est joyeuse
PRÉPARER,Я готовлю ужин,Je prépare le dîner,Il a préparé la réunion,Nous allons préparer le voyage,Tu prépares tes affaires,Elle prépare le café
JOUER,Я играю в футбол,Je joue au football,Il a joué de la guitare,Nous allons jouer ensemble,Tu joues bien,Elle joue au piano
Trouver,Я нашла свой телефон,J'ai trouvé mon téléphone,Je trouve une idée,Nous allons trouver la réponse,Tu trouves toujours,Elle trouve un travail
HABITER / Vivre,Я живу в Париже,J'habite à Paris,Il a vécu longtemps à Rome,Nous allons habiter ensemble,Tu habites où?,Elle vit heureuse
Commander,Я заказываю кофе,Je commande un café,Il a commandé le repas,Nous allons commander en ligne,Tu commandes un taxi,Elle commande un livre
ÉTUDIER,Я изучаю французский язык,J'étudie le français,Il a étudié toute la nuit,Nous allons étudier ensemble,Tu étudies bien,Elle étudie la médecine
