jeune,صغير,زوين,جديد,قاصري,ما ناضجش,طري
tu as vu,شفتي,شفت,شايف,غادي تشوف,راك شفتي,كنتم شفتو
vous êtes,نتوما,كاتكونو,نتي,انتوما,نتوما كاتبقاو,نتوما كاتعيشو
tu as,عندك,كاتملك,نتي عندك,عندك انت,نتا عندك,كيتوفر
je,انا,آنا,أنا,نّا,أناوي,آني
déjà,دابا,الآن,تو,حالين,ديجا,سبق
hier il faisait froid,البارح كان بارد,البارح كان قارس,البارح كان شتا,البارح كان صقيع,البارح كان جليد,البارح كان قرص
non,لا,مابغيتش,موش,ماشي,لاا,مابغاش
cour,محكمة,ساحة,دار المخزن,بلاصة القضاء,ساحة الدار,حوش
faux,غلط,ماصحيش,كاذب,مزيور,باطل,ما والو
valeur,قيمة,ثمن,مزية,أهمية,وزن,سعر
arbre,شجرة,خشب,نبات,غابة,غصن,ورقة
dame,سيدة,مرا,مدام,دام,نبيلة,آنسة
l'homme,راجل,مرا,واحد,طفل,صاحب,بالغ
embrouiller,خلط,لبس,دمج,جمع,ربط,عقد
Je me suis embrouillé,تلخبطت,اعترفت,غلطت,خلصت,قررت,فرحت
avec,مع,بلاش,ل,من,ب,علاش
sans,بلا,مع,ل,من,ب,علاش
le désir,رغبة,بغية,شوق,لهفة,عشق,نزوة
l'envie,بغية,رغبة,نزوة,لهفة,شوق,حسد
la neige,ثلج,شتا,برد,جليد,بيض,ندفة
bière,بيرة,خمرة,كحول,مشروب,ويسكي,شمبانيا
le café,قهوة,خمر,عصير,حليب,ما,شاي
air,هواء,ريح,سما,أوكسجين,نفس,غاز
victoire,نتصار,ربح,تفوق,نجاح,غنيمة,إنجاز
qui est-ce,شكون هادا,شكون هاكاك,شنو هادا,فين هو,كيفاش هو,متى هو
où est la salle de bain,فين الطواليت,فين المراحيض,فين الكوزينة,فين البيت,فين الصالون,فين البيرو
où sont les toilettes,فين الطواليت,فين المراحيض,فين المحطة,فين الطوبيسي,فين المطعم,فين الحانوت
d'où viens-tu,منين جاي,فين ساكن,فين غادي,كيفاش حالك,شنو هادا,شكون نتا
comment,كيفاش,فين,متى,علاش,شكون,شنو
pourquoi,علاش,فين,متى,كيفاش,شكون,شنو
quand,متى,فين,علاش,كيفاش,شكون,شنو
qui,شكون,فين,متى,علاش,كيفاش,شنو
quoi,شنو,فين,متى,علاش,كيفاش,شكون
où,فين,متى,علاش,كيفاش,شكون,شنو
le pneu,كاعو,عجلة,طوموبيل,مركبة,كاوتشو,مثقوب
tu veux quoi,شنو بغيتي,شنو كتفكر,شنو محتاج,كيفاش حالك,فين نتا,شكون نتا
à quelle heure,شحال الساعة,شحال الوقت,متى,شحال المدة,فين,علاش
quel âge as-tu,شحال عمرك,شنو سميتك,فين ساكن,كيفاش حالك,شحال الساعة,منين جاي
qu'est-ce que c'est,شنو هادا,شنو هاكاك,شنو هيا,شكون هادا,فين هيا,بشحال هادا
mal,خايبة/غلط,مزيان,كوينة,واخة,لاباس,زين
le mois,شهر,سيمانة,نهار,عام,وقت,مدة
mariage,جواج,عرس,زواج,اتحاد,عائلي,حفل
le temps,وقت,طقس,ساعة,نهار,لحظة,مدة
l'usure,هلاك,تآكل,تقادم,تدهور,انخفاض,تلف
riche,غني,ثري,ميسور,واحد عندو,فاخر,مرفه
nous sommes allés,مشينا,سافرنا,غادين,مشيت,مشاو,مشيتو
nous avons mangé,كلنا,تغدينا,غادين ناكلو,كلت,كلو,كلتو
ils vont au cinéma,غادين للسينيما,غادين للسينيما,غادين للسينيما,غادي للسينيما,غادة للسينيما,غاادي للسينيما
nous mangeons au restaurant,كاناكلو فالريسطو,كاناكلو بجوج,كاناكلو فالدار,كاناكل فالريسطو,كاناكلو فالريسطو,كاناكل فالريسطو
