cet, этот, тот, данный, указанный, конкретный, такой
cette, эта, та, данная, указанная, конкретная, такая
ces, эти, те, данные, указанные, конкретные, такие
mon, мой, твой, принадлежащий мне, личный, собственный, мой собственный
ma, моя, твоя, принадлежащая мне, личная, собственная, моя собственная
mes, мои, твои, принадлежащие мне, личные, собственные, мои собственные
ton, твой, мой, принадлежащий тебе, личный, собственный, твой собственный
ta, твоя, моя, принадлежащая тебе, личная, собственная, твоя собственная
tes, твои, мои, принадлежащие тебе, личные, собственные, твои собственные
son, его, её, принадлежащий ему, принадлежащий ей, его собственный, её собственный
sa, её, его, принадлежащая ей, принадлежащая ему, её собственная, его собственная
ses, их, его, её, принадлежащие им, их собственные, его собственные, её собственные
notre, наш, ваш, принадлежащий нам, общий, коллективный, наш общий
nos, наши, ваши, принадлежащие нам, общие, коллективные, наши общие
votre, ваш, наш, принадлежащий вам, общий, коллективный, ваш общий
vos, ваши, наши, принадлежащие вам, общие, коллективные, ваши общие
leur, их, наш, принадлежащий им, общий, коллективный, их общий
leurs, их, наши, принадлежащие им, общие, коллективные, их общие
qui, кто, который, какой, тот кто, какой человек, какое лицо
que, что, который, какой, то что, какое дело, какая вещь
quoi, что, который, какой, то что, какое дело, какая вещь
dont, чей, которого, от которого, того чей, из которого, о котором
où, где, когда, почему, как, в каком месте, в какой точке
rien, ничего, что угодно, что-то, всё, никакой предмет, никакая вещь
personne, никто, кто угодно, кто-то, все, ни один человек, никакое лицо
tout, всё, всё, целый, весь, вся вещь, весь объём
tous, все, всё, целый, весь, все люди, весь коллектив
chacun, каждый, все, кто-то, кто угодно, каждый человек, любой индивид
chacune, каждая, все, кто-то, кто угодно, каждая женщина, любая девушка
quelque, какой-то, любой, несколько, несколько, некий, некоторый
quelques, некоторые, любые, несколько, несколько, некие, некоторые люди
plusieurs, несколько, многие, некоторые, мало, ряд, несколько штук
aucun, ни один, нет, никакой, ноль, никакой человек, ни один предмет
aucune, ни одна, нет, никакая, ноль, никакая женщина, ни одна вещь
chaque, каждый, каждый, все, любой, каждый элемент, любой объект
un, один, два, три, первый, единица, один предмет
deux, два, один, три, второй, двойка, два предмета
trois, три, два, четыре, третий, тройка, три предмета
quatre, четыре, три, пять, четвёртый, четвёрка, четыре предмета
cinq, пять, четыре, шесть, пятый, пятёрка, пять предметов
six, шесть, пять, семь, шестой, шестёрка, шесть предметов
sept, семь, шесть, восемь, седьмой, семёрка, семь предметов
huit, восемь, семь, девять, восьмой, восьмёрка, восемь предметов
neuf, девять, восемь, десять, девятый, девятка, девять предметов
dix, десять, девять, одиннадцать, десятый, десятка, десять предметов
