aimer, lieben, Ball, ich will essen, fahren
aller, gehen / fahren, Allee, Allergie, Wassermelone, ich will essen, Ball, fahren
apprendre, lernen, App, April, Appetit
arriver, ankommen / kommen, arriver, Arena, Verhaftung
avoir, haben, avoir, Vorschuss, Aroma
beau, schön, Skate, Fahrrad, Ball, Block
blanc, weiß, Blank, Plan, Elefant
bleu, blau, Blues, Glanz, Block
boire, trinken, Ball, Fahrrad, fahren
bon appétit, guten Appetit, Bonus, Appetit, Bombe
bon, gut, ich will essen, fahren, Skate
calme, ruhig, Kal, Tintenfisch, Tor
chanter, singen, Chanson, Chance, Erpressung
chaud, heiß, Sho, Schock, Autobahn
cinq, fünf, Schlitten, Zink, Heu
colorier, ausmalen, Farbschema, Farbe, Korridor
compter, zählen, Kompott, Kompass, Kontur
content, zufrieden, Inhalt, Kontur, Rinde
courir, rennen, Kurier, Kurs, Jacke, fahren, Skate
court, kurz, Court, Jacke, Kurs
danser, tanzen, Darts, Tribut, Datscha
déçu, enttäuscht, Deck, Dekor, Dekan, Block
descendre, hinuntergehen / aussteigen (aus dem Transport), descendre, Dessert, Landung
dessiner, zeichnen, Dessert, Landung, Gummi
détendu, entspannt, Det, kindlich, Detail
deux, zwei, Jazz, Rauch, Dusche
difficile, schwierig, Diff, diffus, Diffy
dire, sagen, Ball, Fahrrad, fahren
donner, geben, Skate, Fahrrad, Ball
dormir, schlafen, Geschenk, Domino, Wache
écouter, zuhören, fahren, Fahrrad, Skate
écrire, schreiben, Bildschirm, Eskorte, Äther
effrayé, erschrocken, Eff, ephemer, Effekt
énervé, genervt, Energie, En, Enthusiast
ennuyé, gelangweilt, Ennui, En, Waschbär
enthousiaste, begeistert, Enthusiasmus, Enthusiast, En
être, sein, etre, etruskisch, Äther
fâché, wütend, Fasch, Fascha, Fan
facile, leicht, Skate, ich will essen, Ball, feble, feeble, Fake
faire du vélo, Fahrrad fahren, Velours, Fahrrad, Besen
faire, machen, faire, Fee, Schürze
fatigué, müde, Film, Kreis, Fan
fier, stolz, Firma, Fiera, Feuerwerk
fort, stark, Ball, ich will essen, fahren, Phrase
froid, kalt, Freud, Phrase, Front, Skate
gêné, verlegen, Frau, Frau, Geno
grand, groß, Grand, Grant, Granate
heureux, glücklich, Ära, Schwanz, Schraube
inquiet, besorgt, Tinte, Inquisitor, Inquisition, Block
j'ai faim, ich habe Hunger, Phantom, Fan, Flamingo
j'ai soif, ich habe Durst, Sof, Sofa, Falke
jaloux, eifersüchtig, Jalousie, Mitleid, Beschwerde
jaune, gelb, Genre, Jacke, Hitze
je suis content de manger, ich bin froh zu essen, Inhalt, Kontur, Rinde
je suis content, ich bin froh, Inhalt, Kontur, Rinde
je suis triste sans dessert, ich bin traurig ohne Dessert, Trist, Trio, Thron
je veux jouer, ich will spielen, Gauner, Käfer, Jury
je veux manger, ich will essen, Mango, Magie, Mantel
jeune, jung, Skate, Fahrrad, Ball
jouer au ballon, Ball spielen, Gauner, Ballon, Ballett
jouer, spielen, Gauner, Käfer, Jury
joyeux, fröhlich, Jury, Käfer, Gauner
la baguette, Baguette, Baguette, Tasche, Schleife
la balle, Ball, Ballett, Punkt, Schleife
