le pouls, Puls, Herz, Schlag, Frequenz, Fluss, ziehen
l'entraînement, Training, Ausbildung, Übung, Praxis, Sitzung, Trainer
la fréquence cardiaque, Herzfrequenz, Pulsschlag, Herzrhythmus, Herzschlag, Cardio, Frequenz
l'endurance, Ausdauer, Stamina, Dauer, Kraft, Stärke, aushalten
la récupération, Erholung, Ruhe, Heilung, Reparatur, erholen, Operation
je, ich, du, er, sie, wir, sie
tu, du (informell), ich, er, sie, wir, sie
il, er, es, sie, du, wir, ihm
elle, sie, es, er, du, wir, ihr
nous, wir, uns, sie, du, ich, er
vous, Sie (formell/mehrz.), wir, sie, ich, er, uns
ils, sie (männlich), er, sie, wir, du, uns
elles, sie (weiblich), er, sie, wir, du, uns
on, man, wir, sie, du, er, sie, es
être, sein, haben, machen, gehen, sehen, wissen
avoir, haben, sein, machen, wollen, können, gehen
aller, gehen, kommen, laufen, gehen, sehen, machen
faire, machen, machen, gehen, sein, haben, sagen, sehen
dire, sagen, erzählen, fragen, machen, machen, sagen
pouvoir, können, wollen, wissen, haben, gehen, machen
vouloir, wollen, können, wissen, gefallen, lieben, brauchen
savoir, wissen, können, denken, glauben, verstehen, lernen
voir, sehen, schauen, beobachten, wissen, finden, verstehen
venir, kommen, gehen, ankommen, zurückkommen, weggehen, eintreten
prendre, nehmen, bekommen, bringen, machen, machen, geben
donner, geben, nehmen, bringen, machen, machen, sagen
parler, sprechen, reden, sprechen, erzählen, fragen, anrufen
aimer, gefallen, lieben, wollen, wissen, sehen, haben
manger, essen, trinken, nehmen, haben, verbrauchen, genießen
boire, trinken, essen, nehmen, haben, verbrauchen, genießen
dormir, schlafen, ruhen, liegen, bleiben, gehen, aufwachen
travailler, arbeiten, machen, machen, lernen, gehen, leben
étudier, studieren, lernen, lesen, arbeiten, wissen, sehen
lire, lesen, sehen, schreiben, lernen, studieren, sprechen
écrire, schreiben, lesen, sprechen, erzählen, lernen, studieren
écouter, zuhören, hören, sprechen, reden, sprechen, erzählen
regarder, schauen, blicken, sehen, zuhören, finden, wissen
acheter, kaufen, verkaufen, nehmen, bekommen, haben, geben
vendre, verkaufen, kaufen, nehmen, geben, haben, finden
la maison, Haus, Haus, Gebäude, Zimmer, Ort, Familie
le temps, Zeit, Wetter, Stunde, Tag, Moment, Periode
le jour, Tag, Zeit, Nacht, Woche, Sonne, Licht
l'année, Jahr, Zeit, Tag, Monat, Periode, Alter
l'homme, Mann, Frau, Mensch, Kind, Freund, Erwachsener
la femme, Frau, Mann, Mensch, Kind, Freund, Erwachsener
l'enfant, Kind, Kleinkind, Junge, Mädchen, Erwachsener, Freund
l'ami, Freund, bester Freund, Begleiter, Kumpel, Partner, Familie
l'eau, Wasser, Fluss, Meer, Flüssigkeit, Getränk, Getränk
la nourriture, Essen, Mahlzeit, Gericht, Teller, Frühstück, Abendessen
la voiture, Auto, Transport, LKW, Fahrrad, Zug, Bus
le livre, Buch, Roman, Geschichte, Seite, Kapitel, lesen
le chien, Hund, Haustier, Tier, Katze, Pferd, Freund
le chat, Katze, Haustier, Tier, Hund, Pferd, Freund
le travail, Arbeit, Arbeit, Beschäftigung, Karriere, Büro, Aufgabe
l'école, Schule, Universität, Klasse, Unterricht, Lehrer, Schüler
grand, groß, groß, großartig, hoch, klein, gut
petit, klein, klein, groß, jung, alt, kurz
bon, gut, schlecht, gut, gut, ausgezeichnet, großartig
nouveau, neu, alt, modern, frisch, jung, kürzlich
vieux, alt, neu, antik, klassisch, gebraucht, alt
beau, schön, schön, schön, hässlich, gut, ausgezeichnet
mauvais, schlecht, gut, schrecklich, widerlich, gut, falsch
heureux, glücklich, traurig, freudig, freudig, zufrieden, aufgeregt
triste, traurig, glücklich, niedergeschlagen, unglücklich, melancholisch, deprimiert
merci, danke, danke, bitte, bitte, Entschuldigung, hallo
bonjour, hallo, hallo, guten Morgen, guten Tag, auf Wiedersehen, danke
au revoir, auf Wiedersehen, tschüss, bis bald, hallo, gute Nacht, danke
s'il vous plaît, bitte, danke, Entschuldigung, Entschuldigung, hallo, auf Wiedersehen
oui, ja, nein, vielleicht, gut, natürlich, möglich
non, nein, ja, vielleicht, gut, nicht, natürlich
où, wo, wann, warum, wie, wer, was
quand, wann, wo, warum, wie, wer, was
pourquoi, warum, wo, wann, wie, wer, was
comment, wie, wo, wann, warum, wer, was
qui, wer, wo, wann, warum, wie, was
quoi, was, wo, wann, warum, wie, wer
il y a, es gibt, es gibt, es ist, er hat, ich habe, wir haben
je suis, ich bin, er ist, sie ist, wir sind, du bist, sie sind
tu es, du bist, ich bin, er ist, sie ist, wir sind, sie sind
il est, er ist, sie ist, es ist, du bist, wir sind, sie sind
je vais, ich gehe, ich gehe, ich komme, ich will, ich kann, sie geht
je pense, ich denke, ich glaube, ich weiß, ich sage, ich gehe, er denkt
elle fait, sie macht, sie macht, er macht, ich mache, wir machen, sie geht
je fais, ich mache, ich mache, ich gehe, ich bin, ich denke, ich habe
nous avons, wir haben, wir sind, wir machen, wir gehen, wir wollen, wir denken
vous êtes, Sie sind, Sie haben, Sie machen, Sie gehen, Sie wollen, Sie denken
je veux, ich will, ich kann, ich brauche, mir gefällt, ich liebe, ich weiß
je sais, ich weiß, ich denke, ich glaube, ich verstehe, ich lerne, ich sehe
tu as, du hast, du bist, du machst, du gehst, du willst, du denkst
maintenant, jetzt, später, bald, dann, heute, gestern
plus tard, später, jetzt, bald, dann, heute, gestern
la famille, Familie, Freund, Haus, Eltern, Kinder, Haus
le monde, Welt, Erde, Planet, Land, Ort, Universum
la vie, Leben, Tod, Existenz, Tag, Zeit, Welt
la chose, Sache, Objekt, Gegenstand, Dinge, Stück, bisschen
la partie, Teil, Stück, Ganzes, Abschnitt, bisschen, Anteil
l'endroit, Ort, Punkt, Lage, Stelle, Bereich, Position
la personne, Person, Mann, Frau, Kind, Individuum, jemand
l'amour, Liebe, gefallen, Zuneigung, Leidenschaft, Freundschaft, Hass
l'argent, Geld, Bargeld, Reichtum, Münze, Schein, Vermögen
la ville, Stadt, Städtchen, Dorf, Ort, Hauptstadt, Bereich
le pays, Land, Nation, Staat, Erde, Region, Königreich
le soleil, Sonne, Stern, Licht, Tag, Hitze, Mond
la lune, Mond, Sonne, Stern, Nacht, Licht, Dunkelheit
la nuit, Nacht, Tag, Abend, Dunkelheit, Zeit, Schlaf
le matin, Morgen, Tag, Abend, Nacht, Morgendämmerung, Sonnenaufgang
le soir, Abend, Nacht, Morgen, Tag, Dämmerung, Sonnenuntergang
la semaine, Woche, Tag, Monat, Jahr, Zeit, Periode
le mois, Monat, Woche, Tag, Jahr, Zeit, Periode
l'an, Jahr, Alter, Zeit, Tag, Monat, Periode
l'amie, Freundin, Freund, Begleiter, Kumpel, Freundin, Partner
le frère, Bruder, Schwester, Familie, Sohn, Vater, Onkel
la sœur, Schwester, Bruder, Familie, Tochter, Mutter, Tante
le père, Vater, Mutter, Elternteil, Papa, Sohn, Bruder
la mère, Mutter, Vater, Elternteil, Mama, Tochter, Schwester
le fils, Sohn, Junge, Kind, Tochter, Vater, Bruder
la fille, Tochter, Mädchen, Kind, Sohn, Mutter, Schwester
le cœur, Herz, Kern, Zentrum, Liebe, Schlag, Gefühl
la tête, Kopf, Verstand, Gehirn, Oberteil, Anführer, Gesicht
la main, Hand, Hand, Handfläche, Finger, Hilfe, Seite
le pied, Fuß, Bein, Grundlage, Schritt, gehen, Schuh
l'œil, Auge, Sehkraft, Blick, Sicht, Gesicht, sehen
l'oreille, Ohr, Gehör, Klang, hören, Seite, Kopf
la bouche, Mund, Lippen, Gespräch, essen, sprechen, Stimme
