aimer, любить, мяч, хочу есть, кататься
aller, идти / ехать, аллея, аллергия, арбуз, хочу есть, мяч, кататься
apprendre, учить, апп, апрель, аппетит
arriver, прибывать / приходить, арривер, арена, арест
avoir, иметь, авуар, аванс, аромат
beau, красивый, скейт, велосипед, мяч, блок
blanc, белый, бланк, план, слон
bleu, синий, блюз, блеск, блок
boire, пить, мяч, велосипед, кататься
bon appétit, приятного аппетита, бонус, аппетит, бомба
bon, хороший, хочу есть, кататься, скейт
calme, спокойный, кал, кальмар, калитка
chanter, петь, шансон, шанс, шантаж
chaud, горячий, шо, шок, шоссе
cinq, пять, санки, цинк, сено
colorier, раскрашивать, колорит, колор, коридор
compter, считать, компот, компас, контур
content, довольный, контент, контур, кора
courir, бегать, курьер, курс, куртка
courir, бегать, хочу есть, кататься, скейт
court, короткий, курт, куртка, курс
danser, танцевать, дартс, дань, дача
déçu, разочарованный, дек, декор, декан, блок
descendre, спускаться / выходить (из транспорта), десандр, десерт, десант  
dessiner, рисовать, десерт, десант, десна
détendu, расслабленный, дет, детский, деталь  
deux, два, джаз, дым, душ
difficile, трудный, диф, диффуз, диффи
dire, говорить, мяч, велосипед, кататься
donner, давать, скейт, велосипед, мяч
dormir, спать, дар, домино, дозор
écouter, слушать, кататься, велосипед, скейт
écrire, писать, экран, эскорт, эфир
effrayé, испуганный, эфф, эфемер, эффект
énervé, раздражённый, энергия, эн, энтузиаст
ennuyé, скучающий, эннуй, эн, енот
enthousiaste, восторженный, энтузиазм, энтузиаст, эн
être, быть, этр, этрус, эфир
fâché, сердитый, фаш, фаша, фантик
facile, лёгкий, скейт, хочу есть, мяч
faible, слабый, фебль, фейбл, фейк
faire du vélo, кататься на велосипеде, велюр, велосипед, веник
faire, делать, фэр, фея, фартук
fatigué, уставший, фильм, круг, фант
fier, гордый, фирма, фиера, фейерверк
fort, сильный, мяч, хочу есть, кататься, фраза
froid, холодный, фройд, фраза, фронт, скейт
gêné, смущённый, жен, жену, гено
grand, большой, гранд, грант, граната
heureux, счастливый, эра, хвост, винт
inquiet, обеспокоенный, инк, инквизитор, инквиз, блок
j'ai faim, я голоден, фантом, фант, фламинго
j'ai soif, я хочу пить, соф, софа, сокол
jaloux, ревнивый, жалюзи, жал, жалоба
jaune, жёлтый, жанр, жакет, жар
je suis content de manger, я рад есть, контент, контур, кора
je suis content, я доволен, контент, контур, кора  
je suis triste sans dessert, мне грустно без десерта, трист, трио, трон  
je veux jouer, я хочу играть, жулик, жук, жюри
je veux manger, я хочу есть, манго, магия, мантия
jeune, молодой, скейт, велосипед, мяч
jouer au ballon, играть в мяч, жулик, баллон, балет
jouer, играть, жулик, жук, жюри
joyeux, радостный, жюри, жук, жулик
la baguette, багет, багетка, баг, бант
la balle, мячик, балет, балл, бант
la banane, банан, баня, бант, банда
la bicyclette, велосипед, бисквит, билет, бинокль
la bouche, рот, душ, бочка, бунт
la carotte, морковь, карот, карта, корова
la chaise, стул, шезлонг, шайба, шина, фраза
la chaussure, обувь, шнур, шутка, шум
la confiture, варенье, конфитюр, конфета, контур
la crêpe, блин, креп, крепость, кран
la dent, зуб, день, дент, денди
la fenêtre, окно, фен, фантик, факел
la fête, праздник, фет, фетр, фея
la fleur, цветок, лира, флот, фляга
la fraise, клубника, фраза, фрейм, фреска
la girafe, жираф, гиря, граф, гирлянда
la glace, мороженое, глаз, глас, глина
la jambe, нога, жаба, жам, жамка
la langue, язык, ланг, лангет, ланка
la lune, луна, лампа, люк, лук
la main, рука, майн, майна, май
la maison, дом, мазь, май, зон
la mer, море, мэр, мера, мел
la mère, мама, мэр, смог, мелок
la moto, мотоцикл, мото, моток, мотор
la moto, мотоцикл, мяч, хочу есть, кататься
la neige, снег, нога, неон, невод
la nuit, ночь, нота, нога, нут
la pâte, тесто, пат, патрон, паста, фраза
la plage, пляж, планка, плащ, пламя
la pluie, дождь, плющ, паук, пруд
la pomme de terre, картофель, помпа, пот, порт
la pomme, яблоко, помпа, она, помет
la porte, дверь, порт, порог, порошок
la poule, курица, пульс, пуля, кран
la rivière, река, левша, рана, рог
la robe, платье, роба, робот, рог
la rue, улица, рюкзак, рюша, руда
la salade, салат, сала, сало, салон
la sœur, сестра, снек, снег, сыр
la soupe, суп, сопа, сода, сокол
la table, стол, столб, табло, талант
la tarte, пирог, тарт, тарталетка, тент
la tempête, буря, темп, тент, тезис
la terre, земля, тёрка, тир, тень
la tête, голова, тесто, тест, тент
la tomate, помидор, томат, том, торт
la tortue, черепаха, тор, торт, тур
la trottinette, самокат, тротинет, тротуар, тростник
la vache, корова, ваш, вагон, вата
la viande, мясо, вата, виза, вира, вагон
la voiture, машина, вуатюр, вата, вагон
la voiture, машина, кататься, скейт, мяч
l'agneau, ягнёнок, агнец, ангел, анкер
l'air, воздух, аромат, икра, ядро
l'âne, осёл, аня, ангел, анкер
l'anniversaire, день рождения, анни, ани, анкер
l'arbre, дерево, абрикос, брешь, брак
l'arrêt de bus, остановка автобуса, мост, арена, арест  
l'avion, самолёт, авиа, аванс, авантюра
l'avion, самолёт, скейт, кататься, мяч, вагон
le ballon de foot, футбольный мяч, баллон, футбол, форт
le ballon, мяч, баллон, баловень, балет
le bateau, лодка, бато, батон, батут
le beurre, масло, бюретка, бегун, борт
