aimer, to love, ball, I want to eat, to ride
aller, to go, alley, allergy, watermelon, I want to eat, ball, to ride
apprendre, to learn, app, April, appetite
arriver, to arrive, arriver, arena, arrest
avoir, to have, avoir, advance, aroma
beau, beautiful, skate, bicycle, ball, block
blanc, white, blank, plan, elephant
bleu, blue, blues, shine, block
boire, to drink, ball, bicycle, to ride
bon appétit, enjoy your meal, bonus, appetite, bomb
bon, good, I want to eat, to ride, skate
calme, calm, kal, squid, gate
chanter, to sing, chanson, chance, blackmail
chaud, hot, sho, shock, highway
cinq, five, sleds, zinc, hay
colorier, to color, color scheme, color, corridor
compter, to count, compote, compass, contour
content, happy, content, contour, bark
courir, to run, courier, course, jacket, to ride, skate
court, short, court, jacket, course
danser, to dance, darts, tribute, dacha
déçu, disappointed, deck, decor, dean, block
descendre, to go down / to get off (transport), descendre, dessert, landing
dessiner, to draw, dessert, landing, gum
détendu, relaxed, det, children's, detail
deux, two, jazz, smoke, shower
difficile, difficult, diff, diffuse, diffy
dire, to say, ball, bicycle, to ride
donner, to give, skate, bicycle, ball
dormir, to sleep, gift, domino, watch
écouter, to listen, to ride, bicycle, skate
écrire, to write, screen, escort, ether
effrayé, scared, eff, ephemeral, effect
énervé, annoyed, energy, en, enthusiast
ennuyé, bored, ennui, en, raccoon
enthousiaste, enthusiastic, enthusiasm, enthusiast, en
être, to be, etre, etruscan, ether
fâché, angry, fash, fasha, fan
facile, easy, skate, I want to eat, ball
faible, weak, feble, feeble, fake
faire du vélo, to ride a bicycle, velour, bicycle, broom
faire, to do, faire, fairy, apron
fatigué, tired, film, circle, fan
fier, proud, firm, fiera, fireworks
fort, strong, ball, I want to eat, to ride, phrase
froid, cold, Freud, phrase, front, skate
gêné, embarrassed, wife, wife, geno
grand, big, grand, grant, grenade
heureux, happy, era, tail, screw
inquiet, worried, ink, inquisitor, inquisition, block
j'ai faim, I'm hungry, phantom, fan, flamingo
j'ai soif, I'm thirsty, sof, sofa, falcon
jaloux, jealous, blinds, pity, complaint
jaune, yellow, genre, jacket, heat
je suis content de manger, I'm happy to eat, content, contour, bark
je suis content, I'm happy, content, contour, bark
je suis triste sans dessert, I'm sad without dessert, trist, trio, throne
je veux jouer, I want to play, swindler, beetle, jury
je veux manger, I want to eat, mango, magic, mantle
jeune, young, skate, bicycle, ball
jouer au ballon, to play ball, swindler, balloon, ballet
jouer, to play, swindler, beetle, jury
joyeux, joyful, jury, beetle, swindler
la baguette, baguette, baguette, bag, bow
la balle, ball, ballet, score, bow
la banane, banana, bath, bow, gang
la bicyclette, bicycle, biscuit, ticket, binoculars
la bouche, mouth, shower, barrel, riot
la carotte, carrot, karot, map, cow
la chaise, chair, deckchair, washer, tire, phrase
la chaussure, shoe, lace, joke, noise
la confiture, jam, confiture, candy, contour
la crêpe, pancake, crepe, fortress, crane
la dent, tooth, day, dent, dandy
la fenêtre, window, hairdryer, fan, torch
la fête, holiday, fet, felt, fairy
la fleur, flower, lyre, fleet, flask
la fraise, strawberry, phrase, frame, fresco
la girafe, giraffe, weight, count, garland
la glace, ice cream, eye, voice, clay
la jambe, leg, toad, jam, jamka
la langue, tongue, lang, cutlet, lanka
la lune, moon, lamp, hatch, onion
la main, hand, mine, mine, May
la maison, house, ointment, May, zone
la mer, sea, mayor, measure, chalk
la mère, mother, mayor, smog, chalk
la moto, motorcycle, moto, skein, motor, ball, I want to eat, to ride
la neige, snow, leg, neon, net
la nuit, night, note, leg, nut
la pâte, dough, pat, cartridge, pasta, phrase
la plage, beach, bar, cloak, flame
la pluie, rain, ivy, spider, pond
la pomme de terre, potato, pump, sweat, port
