#card
Acheter, J’achetais (Imparfait/Past Continuous),Я покупал, J’achetais du pain tous les jours., Tu achetais des vetements., Il/Elle achetait une maison., Nous achetions en ligne., Vous achetiez quoi?, Ils/Elles achetaient des cadeaux.
Acheter, J’acheterai (Futur simple/Future),Я куплю, J’acheterai du pain demain., Tu acheteras des vetements?, Il/Elle achetera une maison., Nous acheterons en ligne., Vous acheterez quoi?, Ils/Elles acheteront des cadeaux.
Acheter, J’acheterais (Conditionnel present/Would),Я бы купил, J’acheterais du pain si j’avais de l’argent., Tu acheterais des vetements?, Il/Elle acheterait une maison., Nous acheterions en ligne., Vous acheteriez quoi?, Ils/Elles acheteraient des cadeaux.
Apporter, J’apporte (Present/Present),Я приношу, J’apporte le dessert., Tu apportes ton livre?, Il/Elle apporte des fleurs., Nous apportons les documents., Vous apportez le vin?, Ils/Elles apportent de la musique.
Acheter, J’ai achete (Passe compose/Simple Past),Я купил, J’ai achete du pain hier., Tu as achete des vetements?, Il/Elle a achete une maison., Nous avons achete en ligne., Vous avez achete quoi?, Ils/Elles ont achete des cadeaux.
Aller, Je suis alle (Passe compose/Simple Past),Я пошёл, Je suis alle a l’ecole hier., Tu es alle bien?, Il/Elle est alle au travail., Nous sommes alles au cinema., Vous etes alles ou?, Ils/Elles sont alles en France.
Aller, J’allais (Imparfait/Past Continuous),Я шёл, J’allais a l’ecole tous les jours., Tu allais bien?, Il/Elle allait au travail., Nous allions au cinema., Vous alliez ou?, Ils/Elles allaient en France.
Aller, J’irai (Futur simple/Future),Я пойду, J’irai a l’ecole demain., Tu iras bien?, Il/Elle ira au travail., Nous irons au cinema., Vous irez ou?, Ils/Elles iront en France.
Aller, J’irais (Conditionnel present/Would),Я бы пошёл, J’irais a l’ecole si j’etais jeune., Tu irais bien?, Il/Elle irait au travail., Nous irions au cinema., Vous iriez ou?, Ils/Elles iraient en France.
Venir, Je viens (Present/Present),Я приезжаю, Je viens avec toi., Tu viens ce soir?, Il/Elle vient demain., Nous venons ensemble., Vous venez quand?, Ils/Elles viennent de loin.
Apercevoir, J’ai apercu (Passe compose/Simple Past),Я заметил, J’ai apercu un probleme hier., Tu as apercu quelqu’un?, Il/Elle a apercu la difference., Nous avons apercu la verite., Vous avez apercu le changement?, Ils/Elles ont apercu le danger.
Apercevoir, J’apercevais (Imparfait/Past Continuous),Я замечал, J’apercevais un probleme tous les jours., Tu apercevais quelqu’un., Il/Elle apercevait la difference., Nous apercevions la verite., Vous aperceviez le changement?, Ils/Elles apercevaient le danger.
Apercevoir, J’apercevrai (Futur simple/Future),Я замечу, J’apercevrai le probleme demain., Tu apercevras quelqu’un?, Il/Elle apercevra la difference., Nous apercevrons la verite., Vous apercevrez le changement?, Ils/Elles apercevront le danger.
Apercevoir, J’apercevrais (Conditionnel present/Would),Я бы заметил, J’apercevrais le probleme si j’etais attentif., Tu apercevrais quelqu’un?, Il/Elle apercevrait la difference., Nous apercevrions la verite., Vous apercevriez le changement?, Ils/Elles apercevraient le danger.
Partir, Je pars (Present/Present),Я покидаю, Je pars en voyage., Tu pars demain?, Il/Elle part tot., Nous partons ensemble., Vous partez a quelle heure?, Ils/Elles partent en vacances.
Appeler, J’ai appele (Passe compose/Simple Past),Я позвонил, J’ai appele hier soir., Tu as appele ton ami?, Il/Elle a appele sa mere., Nous avons appele le docteur., Vous avez appele qui?, Ils/Elles ont appele leurs parents.
Appeler, J’appelais (Imparfait/Past Continuous),Я звонил, J’appelais mon ami tous les jours., Tu appelais ta famille le soir., Il/Elle appelait souvent., Nous appelions le service client., Vous appeliez le medecin?, Ils/Elles appelaient leurs amis.
Appeler, J’appellerai (Futur simple/Future),Я позвоню, J’appellerai demain matin., Tu appelleras ton frere?, Il/Elle appellera plus tard., Nous appellerons le restaurant., Vous appellerez le directeur?, Ils/Elles appelleront leurs amis.
Appeler, J’appellerais (Conditionnel present/Would),Я бы позвонил, J’appellerais si j’avais le temps., Tu appellerais en cas de probleme?, Il/Elle appellerait le medecin., Nous appellerions le service., Vous appelleriez qui?, Ils/Elles appelleraient leurs parents.
Montrer, Je montre (Present/Present),Я смотрю, Je montre la photo., Tu montres le chemin?, Il/Elle montre son travail., Nous montrons le musee., Vous montrez votre passeport?, Ils/Elles montrent les resultats.
Apporter, J’ai apporte (Passe compose/Simple Past),Я принёс, J’ai apporte le dessert hier., Tu as apporte ton livre?, Il/Elle a apporte des fleurs., Nous avons apporte les documents., Vous avez apporte le vin?, Ils/Elles ont apporte de la musique.
Apporter, J’apportais (Imparfait/Past Continuous),Я приносил, J’apportais le dessert tous les dimanches., Tu apportais ton livre., Il/Elle apportait des fleurs., Nous apportions les documents., Vous apportiez le vin?, Ils/Elles apportaient de la musique.
Apporter, J’apporterai (Futur simple/Future),Я принесу, J’apporterai le dessert demain., Tu apporteras ton livre?, Il/Elle apportera des fleurs., Nous apporterons les documents., Vous apporterez le vin?, Ils/Elles apporteront de la musique.
Apporter, J’apporterais (Conditionnel present/Would),Я бы принёс, J’apporterais le dessert si tu venais., Tu apporterais ton livre?, Il/Elle apporterait des fleurs., Nous apporterions les documents., Vous apporteriez le vin?, Ils/Elles apporteraient de la musique.
Payer, Je paie (Present/Present),Я плачу, Je paie par carte., Tu paies en especes?, Il/Elle paie l’addition., Nous payons ensemble., Vous payez combien?, Ils/Elles paient le loyer.
Apprendre, J’ai appris (Passe compose/Simple Past),Я выучил, J’ai appris beaucoup hier., Tu as appris la nouvelle?, Il/Elle a appris le piano., Nous avons appris la lecon., Vous avez appris l’espagnol?, Ils/Elles ont appris la verite.
Apprendre, J’apprenais (Imparfait/Past Continuous),Я учил, J’apprenais le francais quand j’etais jeune., Tu apprenais facilement., Il/Elle apprenait le piano., Nous apprenions ensemble., Vous appreniez l’histoire?, Ils/Elles apprenaient vite.
Apprendre, J’apprendrai (Futur simple/Future),Я выучу, J’apprendrai le francais bientot., Tu apprendras vite?, Il/Elle apprendra le piano., Nous apprendrons ensemble., Vous apprendrez l’espagnol?, Ils/Elles apprendront beaucoup.
Apprendre, J’apprendrais (Conditionnel present/Would),Я бы выучил, J’apprendrais plus vite si j’avais du temps., Tu apprendrais facilement?, Il/Elle apprendrait le piano., Nous apprendrions ensemble., Vous apprendriez l’histoire?, Ils/Elles apprendraient vite.
Devoir, Je dois (Present/Present),Я должен, Je dois travailler., Tu dois venir., Il/Elle doit partir., Nous devons finir., Vous devez etudier., Ils/Elles doivent appeler.
Apprendre, J’apprends (Present/Present),Я учу, J’apprends le francais., Tu apprends vite?, Il/Elle apprend le piano., Nous apprenons ensemble., Vous apprenez l’espagnol?, Ils/Elles apprennent beaucoup.
Attendre, J’ai attendu (Passe compose/Simple Past),Я ждал, J’ai attendu le bus longtemps., Tu as attendu ton ami?, Il/Elle a attendu une reponse., Nous avons attendu le train., Vous avez attendu longtemps?, Ils/Elles ont attendu leur tour.
Attendre, J’attendais (Imparfait/Past Continuous),Я ждал, J’attendais le bus hier., Tu attendais ton ami., Il/Elle attendait une reponse., Nous attendions le train., Vous attendiez longtemps?, Ils/Elles attendaient leur tour.
Attendre, J’attendrai (Futur simple/Future),Я подожду, J’attendrai le bus demain., Tu attendras ton ami?, Il/Elle attendra une reponse., Nous attendrons le train., Vous attendrez longtemps?, Ils/Elles attendront leur tour.
Attendre, J’attendrais (Conditionnel present/Would),Я бы подождал, J’attendrais le bus si c’etait necessaire., Tu attendrais ton ami?, Il/Elle attendrait une reponse., Nous attendrions le train., Vous attendriez longtemps?, Ils/Elles attendraient leur tour.
Retenir, Je retiens (Present/Present),Я запоминаю, Je retiens bien les noms., Tu retiens les lecons?, Il/Elle retient tout., Nous retenons les dates., Vous retenez l’information?, Ils/Elles retiennent les regles.
Avoir, J’ai (Present/Present),У меня есть, J’ai une nouvelle voiture., Tu as faim?, Il/Elle a du talent., Nous avons du temps libre., Vous avez raison., Ils/Elles ont beaucoup d’amis.
Pouvoir, Je pouvais (Imparfait/Past Continuous),Я мог бы, Je pouvais courir tres vite quand j’etais jeune., Tu pouvais rester chez moi hier soir., Il/Elle pouvait travailler toute la nuit., Nous pouvions voir la mer de la fenetre., Vous pouviez choisir n’importe quel film., Ils/Elles pouvaient parler sans probleme.
Avoir, J’ai eu (Passe compose/Simple Past),У меня был, J’ai eu un accident la semaine derniere., Tu as eu de la chance., Il/Elle a eu une bonne idee., Nous avons eu un beau week-end., Vous avez eu des problemes?, Ils/Elles ont eu froid toute la nuit.
Pouvoir, Je pourrai (Futur simple/Future),Я смогу, Je pourrai t’aider demain., Tu pourras venir samedi?, Il/Elle pourra passer l’examen., Nous pourrons partir tot., Vous pourrez choisir le restaurant., Ils/Elles pourront realiser leur reve.
Avoir, J’aurai (Futur simple/Future),У меня будет, J’aurai une nouvelle voiture l’annee prochaine., Tu auras plus de temps libre., Il/Elle aura 30 ans en juin., Nous aurons une grande maison., Vous aurez raison un jour., Ils/Elles auront beaucoup de succes.
Pouvoir, Je pourrais (Conditionnel present/Would),Я мог бы, Je pourrais venir si j’avais le temps., Tu pourrais m’aider?, Il/Elle pourrait gagner facilement., Nous pourrions partir en voyage., Vous pourriez choisir le film?, Ils/Elles pourraient reussir.
Avoir, J’aurais (Conditionnel present/Would),У меня бы был, J’aurais plus de temps si je travaillais moins., Tu aurais raison dans ce cas., Il/Elle aurait une belle carriere., Nous aurions une grande fete., Vous auriez du succes., Ils/Elles auraient tout ce qu’ils veulent.
Avoir, J’avais (Imparfait/Past Continuous),У меня был, J’avais une belle voiture quand j’etais etudiant., Tu avais beaucoup de temps libre avant., Il/Elle avait les cheveux longs., Nous avions un grand jardin., Vous aviez raison sur ce point., Ils/Elles avaient peur du noir.
Pouvoir, J’ai pu (Passe compose/Simple Past),Я мог бы, J’ai pu finir mon travail a temps., Tu as pu venir a la fete?, Il/Elle a pu resoudre le probleme., Nous avons pu acheter les billets., Vous avez pu parler avec le directeur?, Ils/Elles ont pu voyager en Asie.
Battre, Je battais (Imparfait/Past Continuous),Я бил, Je battais le record tous les jours., Tu battais les records?, Il/Elle battait son adversaire., Nous battions le tambour., Vous battiez le temps?, Ils/Elles battaient fort.
Battre, Je battrai (Futur simple/Future),Я побью, Je battrai le record demain., Tu battras les records?, Il/Elle battra son adversaire., Nous battrons le tambour., Vous battrez le temps?, Ils/Elles battront fort.
Battre, Je battrais (Conditionnel present/Would),Я бы побил, Je battrais le record si je m’entrainais plus., Tu battrais les records?, Il/Elle battrait son adversaire., Nous battrions le tambour., Vous battriez le temps?, Ils/Elles battraient fort.
Comprendre, Je comprends (Present/Present),Я понимаю, Je comprends bien., Tu comprends le francais?, Il/Elle comprend vite., Nous comprenons tout., Vous comprenez l’exercice?, Ils/Elles comprennent l’idee.
Battre, J’ai battu (Passe compose/Simple Past),Я побил, J’ai battu le record hier., Tu as battu les records?, Il/Elle a battu son adversaire., Nous avons battu le tambour., Vous avez battu le temps?, Ils/Elles ont battu fort.
Boire, Je boirai (Futur simple/Future),Я выпью, Je boirai de l’eau demain., Tu boiras du cafe?, Il/Elle boira du vin., Nous boirons ensemble., Vous boirez quoi?, Ils/Elles boiront du the.
Boire, Je boirais (Conditionnel present/Would),Я бы выпил, Je boirais de l’eau si j’avais soif., Tu boirais du cafe?, Il/Elle boirait du vin., Nous boirions ensemble., Vous boiriez quoi?, Ils/Elles boiraient du the.
Etre, Je suis (Present/Present),Я -, Je suis content., Tu es fatigue?, Il/Elle est intelligent., Nous sommes amis., Vous etes prets?, Ils/Elles sont la.
Boire, Je buvais (Imparfait/Past Continuous),Я пил, Je buvais de l’eau tous les jours., Tu buvais du cafe., Il/Elle buvait du vin., Nous buvions ensemble., Vous buviez quoi?, Ils/Elles buvaient du the.
Boire, J’ai bu (Passe compose/Simple Past),Я выпил, J’ai bu de l’eau hier., Tu as bu du cafe?, Il/Elle a bu du vin., Nous avons bu ensemble., Vous avez bu quoi?, Ils/Elles ont bu du the.
Chercher, Je cherchais (Imparfait/Past Continuous),Я искал, Je cherchais mes cles toute la matinee., Tu cherchais un travail., Il/Elle cherchait la solution., Nous cherchions un appartement., Vous cherchiez quoi?, Ils/Elles cherchaient leurs amis.
Chercher, Je chercherai (Futur simple/Future),Я буду искать, Je chercherai mes cles demain., Tu chercheras un travail?, Il/Elle cherchera la solution., Nous chercherons un appartement., Vous chercherez quoi?, Ils/Elles chercheront leurs amis.
Chercher, Je chercherais (Conditionnel present/Would),Я бы искал, Je chercherais mes cles si je les avais perdues., Tu chercherais un travail?, Il/Elle chercherait la solution., Nous chercherions un appartement., Vous chercheriez quoi?, Ils/Elles chercheraient leurs amis.
Visiter, Je visite (Present/Present),Я посещаю, Je visite Paris., Tu visites souvent?, Il/Elle visite le musee., Nous visitons la ville., Vous visitez la France?, Ils/Elles visitent des monuments.
Entendre, Je vais entendre (Futur proche/Near Future),Я услышу, Je vais entendre la reponse bientot., Tu vas entendre ce bruit?, Il/Elle va entendre mieux., Nous allons entendre le concert., Vous allez entendre l’annonce?, Ils/Elles vont entendre tout.
Terminer, Je vais terminer (Futur proche/Near Future),Я закончу, Je vais terminer mon travail ce soir., Tu vas terminer vite?, Il/Elle va terminer le projet., Nous allons terminer ensemble., Vous allez terminer a quelle heure?, Ils/Elles vont terminer tard.
Donner, Je vais donner (Futur proche/Near Future),Я дам, Je vais donner un cadeau demain., Tu vas donner ton avis?, Il/Elle va donner un cours., Nous allons donner de l’argent., Vous allez donner une fete?, Ils/Elles vont donner leur accord.
Lire, Je vais lire (Futur proche/Near Future),Я прочитаю, Je vais lire ce livre ce soir., Tu vas lire l’article?, Il/Elle va lire le rapport., Nous allons lire ensemble., Vous allez lire le contrat?, Ils/Elles vont lire les nouvelles.
Travailler, Je vais travailler (Futur proche/Near Future),Я поработаю, Je vais travailler demain matin., Tu vas travailler avec nous?, Il/Elle va travailler plus., Nous allons travailler en equipe., Vous allez travailler le week-end?, Ils/Elles vont travailler dur.
Falloir, Il va falloir (Futur proche/Near Future),Мне придётся, Il va falloir finir ce soir., Il va falloir manger sain., Il va falloir partir tot., Il va falloir que nous parlions., Il va falloir que vous veniez., Il va falloir qu’ils arrivent.
Raconter, Je vais raconter (Futur proche/Near Future),Я скажу, Je vais raconter une histoire ce soir., Tu vas raconter tes vacances?, Il/Elle va raconter son aventure., Nous allons raconter nos souvenirs., Vous allez raconter l’histoire?, Ils/Elles vont raconter ce qui s’est passe.
Appeler, Je vais appeler (Futur proche/Near Future),Я позвоню, Je vais appeler mon ami ce soir., Tu vas appeler ta mere?, Il/Elle va appeler le docteur., Nous allons appeler le restaurant., Vous allez appeler qui?, Ils/Elles vont appeler leurs parents.
Montrer, Je vais montrer (Futur proche/Near Future),Я покажу, Je vais montrer les photos demain., Tu vas montrer le chemin?, Il/Elle va montrer son travail., Nous allons montrer le musee., Vous allez montrer les documents?, Ils/Elles vont montrer leurs resultats.
Rencontrer, Je vais rencontrer (Futur proche/Near Future),Я встречусь, Je vais rencontrer mes amis demain., Tu vas rencontrer tes collegues?, Il/Elle va rencontrer le client., Nous allons rencontrer l’equipe., Vous allez rencontrer le directeur?, Ils/Elles vont rencontrer leurs partenaires.
Connaitre, Je vais connaitre (Futur proche/Near Future),Я узнаю, Je vais connaitre mieux la ville bientot., Tu vas connaitre la reponse?, Il/Elle va connaitre tout le monde., Nous allons connaitre la verite., Vous allez connaitre le resultat?, Ils/Elles vont connaitre les regles.
Croire, Je vais croire (Futur proche/Near Future),Я поверю, Je vais croire quand je verrai., Tu vas croire a cette nouvelle?, Il/Elle va croire en toi., Nous allons croire en l’avenir., Vous allez croire a cette theorie?, Ils/Elles vont croire a cette idee.
