jeune,молодой,стол,окно,книга,дверь,кошка
tu as vu,ты видел,поезд,самолёт,корабль,велосипед,мотоцикл
vous êtes,вы есть,рыба,птица,зверь,гад,жук
tu as,у тебя есть,нет,никогда,всегда,иногда,редко
je,я,ты,он,она,мы,они
déjà,уже,ещё,только,потом,скоро,давно
hier il faisait froid,вчера было холодно,сегодня жарко,завтра дождь,сейчас снег,утром ветер,вечером туман
non,нет,да,может,ладно,точно,верно
cour,двор,суд,мяч,ключ,стол,стул
faux,ложный,правый,целый,новый,старый,живой
valeur,ценность,цена,вес,размер,цвет,форма
arbre,дерево,куст,трава,цветок,лист,корень
dame,дама,господин,девушка,женщина,ребёнок,муж
l'homme,мужчина,женщина,ребёнок,старик,парень,дед
embrouiller,путать,ясно,чисто,просто,легко,быстро
Je me suis embrouillé,я запутался,я понял,я забыл,я вспомнил,я решил,я сделал
avec,с,без,для,от,к,на
sans,без,с,для,от,к,на
le désir,желание,страх,гнев,радость,грусть,удивление
l'envie,зависть,желание,любовь,ненависть,страх,радость
la neige,снег,дождь,ветер,солнце,туча,гром
le café,кофе,чай,вода,сок,молоко,вино
qui est-ce,кто это,что это,где это,когда это,как это,почему это
où est la salle de bain,где ванная,где кухня,где спальня,где гостиная,где офис,где гараж
où sont les toilettes,где туалет,где ванная,где кухня,где спальня,где вход,где выход
d'où viens-tu,откуда ты,куда ты,как ты,кто ты,что ты,где ты
comment,как,где,когда,почему,кто,что
pourquoi,почему,где,когда,как,кто,что
quand,когда,где,почему,как,кто,что
qui,кто,где,когда,почему,как,что
quoi,что,где,когда,почему,как,кто
où,где,когда,почему,как,кто,что
le pneu,шина,колесо,дверь,окно,стекло,зеркало
tu veux quoi,что хочешь,кто хочет,где хочет,когда хочет,как хочет,почему хочет
à quelle heure,во сколько,где,когда,почему,как,кто
quel âge as-tu,сколько тебе лет,как тебя зовут,где живёшь,кто ты,что делаешь,куда идёшь
qu'est-ce que c'est,что это,кто это,где это,когда это,как это,почему это
mal,плохо,хорошо,быстро,медленно,громко,тихо
le mois,месяц,неделя,день,год,час,минута
le mariage,брак,свадьба,развод,встреча,свидание,помолвка
le temps,время,погода,час,день,момент,период
l'usure,износ,ремонт,новый,целый,крепкий,сильный
riche,богатый,бедный,средний,обычный,простой,рядовой
nous sommes allés,мы пошли,мы пришли,мы ехали,мы бежали,мы летели,мы плыли
nous avons mangé,мы ели,мы пили,мы спали,мы работали,мы играли,мы читали
ils vont au cinéma,они идут в кино,мы идём в кино,ты идёшь в кино,я иду в кино,она идёт в кино,он идёт в кино
nous mangeons au restaurant,мы едим в ресторане,мы едим дома,мы едим вместе,мы едим утром,мы едим вечером,мы едим днём
nous allons à l'école,мы идём в школу,мы идём домой,мы идём в магазин,мы идём в парк,мы идём в кино,мы идём в театр
nous avons,у нас есть,у нас нет,у нас было,у нас будет,у нас было бы,у нас есть ли
vous,вы,мы,они,я,он,она
la direction,направление,путь,дорога,маршрут,курс,сторона
la route,дорога,путь,тропа,шоссе,улица,переулок
la chaleur,жара,тепло,холод,мороз,прохлада,лёд
chaud,горячий,тёплый,холодный,лёдяной,прохладный,морозный
guerre,война,мир,бой,битва,сражение,перемирие
réveil,будильник,пробуждение,сон,кровать,подушка,одеяло
