le pouls,пульс,сердце,биение,частота,поток,тянуть
l'entraînement,тренировка,обучение,упражнение,практика,сессия,тренер
la fréquence cardiaque,частота сердечных сокращений,пульсовая частота,сердечный ритм,сердцебиение,кардио,частота
l'endurance,выносливость,стамина,продолжительность,сила,мощь,выдерживать
la récupération,восстановление,отдых,исцеление,ремонт,восстанавливать,операция
je,я,ты,он,она,мы,они
tu,ты (неформально),я,он,она,мы,они
il,он это,она,они,ты,мы,ему
elle,она это,он,они,ты,мы,ей
nous,мы,нас,они,ты,я,он
vous,вы (формально/мн.ч.),мы,они,я,он,нас
ils,они (муж.),он,она,мы,ты,нас
elles,они (жен.),он,она,мы,ты,нас
on,человек мы,они,ты,он,она,это
être,быть,иметь,делать,идти,видеть,знать
avoir,иметь,быть,делать,хотеть,мочь,идти
aller,идти,приходить,бежать,ходить,видеть,делать
faire,делать делать,идти,быть,иметь,говорить,видеть
dire,говорить,рассказывать,спрашивать,делать,делать,говорить
pouvoir,мочь,хотеть,знать,иметь,идти,делать
vouloir,хотеть,мочь,знать,нравиться,любить,нуждаться
savoir,знать,мочь,думать,верить,понимать,учить
voir,видеть,смотреть,наблюдать,знать,находить,понимать
venir,приходить,идти,прибывать,возвращаться,уходить,входить
prendre,брать,получать,приносить,делать,делать,давать
donner,давать,брать,приносить,делать,делать,говорить
parler,говорить,разговаривать,говорить,рассказывать,спрашивать,звонить
aimer,нравиться,любить,хотеть,знать,видеть,иметь
manger,есть,пить,брать,иметь,потреблять,наслаждаться
boire,пить,есть,брать,иметь,потреблять,наслаждаться
dormir,спать,отдыхать,лежать,оставаться,идти,просыпаться
travailler,работать,делать,делать,учиться,идти,жить
étudier,учиться,изучать,читать,работать,знать,видеть
lire,читать,видеть,писать,учиться,изучать,говорить
écrire,писать,читать,говорить,рассказывать,учиться,изучать
écouter,слушать,слышать,говорить,разговаривать,говорить,рассказывать
regarder,смотреть,глядеть,видеть,слушать,находить,знать
acheter,покупать,продавать,брать,получать,иметь,давать
vendre,продавать,покупать,брать,давать,иметь,находить
la maison,дом,дом,здание,комната,место,семья
le temps,время,погода,час,день,момент,период
le jour,день,время,ночь,неделя,солнце,свет
l'année,год,время,день,месяц,период,возраст
l'homme,мужчина,женщина,человек,ребёнок,друг,взрослый
